paper_id,title,authors,year,venue,doi,decision,reason,confidence,needs_human
REC_1077,A Comprehensive Survey on Short-Distance Localization of UAVs,Kramarić L.; Jelušić N.; Radišić T.; Muštra M.,2025,,10.3390/drones9030188,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_1247,Automated Geolocation in Urban Environments Using a Simple Camera-Equipped Unmanned Aerial Vehicle: A Rapid Mapping Surveying Alternative?,Trigkakis D.; Petrakis G.; Tripolitsiotis A.; Partsinevelos P.,2020,,10.3390/ijgi9070425,EXCLUDE,GPS_AUGMENTED_ONLY,0.95,False
REC_1280,GPS-Denied LiDAR-Based SLAM—A Survey,Jiang H.; Cheng Y.; Dai W.; Wan W.; Liu Q.; Wang F.,2025,,10.1049/csy2.70031,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
REC_1371,From GPS to AI: A comprehensive review of Unmanned Aerial Vehicle (UAV) localization solutions,Lateef F.; Kas M.; Ruichek Y.,2025,,10.1016/j.isprsjprs.2025.09.014,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
REC_1407,A Survey of Robot Swarms’ Relative Localization Method,Chen S.; Yin D.; Niu Y.,2022,,10.3390/s22124424,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
REC_1457,A Survey on Relative Navigation Used in UAV Teaming,Chen X.; Li J.; Che S.; Li Q.,2025,,10.1007/978-981-96-2204-7_12,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
REC_1560,"Survey of unmanned subterranean exploration, navigation, and localisation",Martz J.; Al-Sabban W.; Smith R.N.,2020,,10.1049/iet-csr.2019.0043,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
REC_1590,Beyond the Last Mile: A Systematic Review Exploring Indoor Delivery-UAV Requirements in the Last-Meter Context,Li Y.; Ng S.T.; Ling M.; Pan Q.,2026,,10.3390/su18136728,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
REC_1600,A survey of sensors based autonomous unmanned aerial vehicle (UAV) localization techniques,Liu H.; Long Q.; Yi B.; Jiang W.,2025,,10.1007/s40747-025-01961-2,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
REC_1661,A Comprehensive Review of Deep Learning -Aided Localization Techniques for Autonomous UAV Landing,Mohamed Sameer T.K.; Susitra D.,2025,,10.1109/ICCSPCI68199.2025.11451182,EXCLUDE,OUT_OF_SCOPE_PLATFORM,0.95,False
