id,done_flag,pdf_on_disk,in_master,status,title,doi
REC_1222,N,N,N,Truly_pending,Autonomous UAV navigation in GPS denied environments using Lidar Point Clouds,10.2514/6.2023-3626
REC_1272,N,N,N,Truly_pending,An Efficient Framework for Autonomous UAV Missions in Partially-Unknown GNSS-Denied Environments,10.3390/drones7070471
REC_1275,N,N,N,Truly_pending,A DNN-Based Optical Aided Autonomous Navigation System for UAV Under GNSS-denied Environment,10.1007/978-981-99-0479-2_326
REC_1332,N,N,N,Truly_pending,A Relative Infrastructure-less Localization Algorithm for Decentralized and Autonomous Swarm Formation,10.1109/IROS55552.2023.10342168
REC_1447,N,N,N,Truly_pending,AN ACOUSTIC BASED LOCAL POSITIONING SYSTEM FOR DYNAMIC UAV IN GPS-DENIED ENVIRONMENTS,10.13031/aea.15397
REC_1548,N,N,N,Truly_pending,Tethered Multicopter Guidance in GPS-Denied Environments Through Reinforcement Learning,10.2514/6.2023-0507
REC_1602,N,N,N,Truly_pending,Cooperative localisation of UAV swarm based on adaptive SA-PSO algorithm,10.1017/aer.2022.54
REC_1620,N,N,N,Truly_pending,Research and Design of Precision-Landing Drone in an Underground GPS-Denied Environment,10.2514/6.2023-3625
REC_1068,N,N,N,Truly_pending,High-Accuracy Robust SLAM and Real-Time Autonomous Navigation of UAV in GNSS-denied Environments,10.1007/978-981-15-8155-7_92
REC_1347,N,N,N,Truly_pending,A Ground Moving Target Tracking System for a Quadrotor in GPS-Denied Environments,10.1007/978-981-15-8155-7_246
REC_1440,N,N,N,Truly_pending,A Review of Navigation Algorithms for Unmanned Aerial Vehicles Based on Computer Vision Systems,10.1134/S2075108722040022
REC_1522,N,N,N,Truly_pending,A Real-Time Monocular Vision-Aided Target Detection and Tracking for Micro UAV in GPS Denied Environment,10.1007/978-981-15-8155-7_255
REC_1646,N,N,N,Truly_pending,Adaptive Visual-Inertial Navigation for Fixed-Wing Aircraft Landing in GPS-Denied Condition,10.1007/978-981-15-8155-7_222
REC_1090,N,N,N,Truly_pending,UAV navigation in GPS-denied environment using particle filtered RVL,10.1117/12.2518516
REC_1200,N,N,N,Truly_pending,RF-Drone: Multi-tag system for RF-ID enables drone tracking in GPS-denied environments,10.1587/transcom.2018DRP0005
REC_1209,N,N,N,Truly_pending,Immunity-based framework for autonomous flight in GNSS-denied environment,10.15866/irease.v12i6.16215
REC_1294,N,N,N,Truly_pending,Localization Fusion for Aerial Vehicles in Partially GNSS Denied Environments,10.1007/978-3-030-14984-0_20
REC_1363,N,N,N,Truly_pending,CSLAM and GPS based navigation for multi-UAV cooperative transportation system,10.1007/978-3-030-27535-8_29
REC_1541,N,N,N,Truly_pending,Visual-Thermal Landmarks and Inertial Fusion for Navigation in Degraded Visual Environments,10.1109/AERO.2019.8741787
REC_1553,N,N,N,Truly_pending,Real-Time Monocular Vision-Based UAV Obstacle Detection and Collision Avoidance in GPS-Denied Outdoor Environments Using CNN MobileNet-SSD,10.1007/978-3-030-33749-0_49
REC_1070,N,N,N,Truly_pending,Hybrid Machine Learning VDM for UAVs in GNSS-denied Environment,10.1002/navi.249
REC_1210,N,N,N,Truly_pending,"Experiments in Fast, Autonomous, GPS-Denied Quadrotor Flight",10.1109/ICRA.2018.8463214
REC_1268,N,N,N,Truly_pending,SOFT-SLAM: Computationally efficient stereo visual simultaneous localization and mapping for autonomous unmanned aerial vehicles,10.1002/rob.21762
REC_1555,N,N,N,Truly_pending,Bounding visual odometry drift with radio range data for small unmanned aerial vehicles,10.33012/2018.15952
REC_1676,N,N,N,Truly_pending,More Robust Features for Adaptive Visual Navigation of UAVs in Mixed Environments: A Novel Localisation Framework,10.1007/s10846-017-0650-2
REC_1679,N,N,N,Truly_pending,Self-localization of unmanned aerial vehicles based on optical flow in onboard camera images,10.1007/978-3-319-76072-8_8
REC_1539,N,N,N,Truly_pending,3D mapping for autonomous quadrotor aircraft,10.1142/S2301385017400064
REC_1064,N,N,N,Truly_pending,Autonomous Navigation for Micro Aerial Vehicles in Complex GNSS-denied Environments,10.1007/s10846-015-0274-3
REC_1187,N,N,N,Truly_pending,Group coordination and path replan tactics in GPS denied environments,10.1109/ICUAS.2016.7502646
REC_1322,N,N,N,Truly_pending,Indoor SLAM for Micro Aerial Vehicles Control Using Monocular Camera and Sensor Fusion,10.1109/ICARSC.2016.46
REC_1336,N,N,N,Truly_pending,Multi-sensor robust relative estimation framework for GPS-denied multirotor aircraft,10.1109/ICUAS.2016.7502619
REC_1400,N,N,N,Truly_pending,Indoor SLAM for micro aerial vehicles using visual and laser sensor fusion,10.1007/978-3-319-27146-0_41
REC_1608,N,N,N,Truly_pending,Long-term aerial robot localization based on visual odometry and radio-based ranging,10.1109/ICUAS.2016.7502653
REC_1609,N,N,N,Truly_pending,GPS Denied UAV Routing with Communication Constraints,10.1007/s10846-016-0343-2
REC_0461,N,N,N,Truly_pending,Autonomous MAV navigation in complex GNSS-denied 3D environments,10.1109/SSRR.2015.7443012
